"","wsj.Coupon","maturity","wsj.Asked"
"272",4.5,43.3555555555556,125.5391
"273",3.5,44.8888888888889,108.6641
"274",4.25,45.3833333333333,120.6484
"275",4.5,45.8944444444444,124.7813
"276",4.375,46.4055555555556,122.6875
"277",4.625,46.9166666666667,126.9297
"278",4.375,47.4166666666667,122.75
"279",3.875,47.9277777777778,114.2109
"280",4.25,48.4388888888889,120.625
"281",4.75,48.95,129.4922
"282",4.375,49.4444444444444,122.9219
"283",3.75,49.9555555555556,111.9219
"284",3.125,50.4666666666667,100.8828
"285",3.125,50.9777777777778,100.8594
"286",3,51.4722222222222,98.5156
"287",2.75,51.9833333333333,93.8594
"288",2.75,52.4944444444444,93.7813
"289",3.125,53.0055555555556,100.5469
"290",2.875,53.5,95.9453
"291",3.625,54.0111111111111,109.9063
"292",3.75,54.5222222222222,112.3359
"293",3.625,55.0333333333333,109.8672
"294",3.375,55.5333333333333,105.1641
"295",3.125,56.0444444444444,100.3828
"296",3,56.5555555555556,97.9609
"297",2.5,57.0666666666667,88.3516
"298",3,57.5611111111111,97.8047
"299",2.875,58.0722222222222,95.3984
"300",3,58.5833333333333,97.7734
"301",2.5,59.0944444444444,88.0547
"302",2.5,59.5888888888889,87.9688
"303",2.25,60.1,83.1328
"304",2.875,60.6111111111111,95.4297
