"","q4.sol.duals","q4.sol.duals.from","q4.sol.duals.to"
"378",1.57761934544609,0,77603.2737697566
"379",1.05697711551902,0,76508.9296270807
"380",0,-1e+30,1e+30
"381",1.59512118152986,0,77651.5645437265
"382",1.56191934544608,0,77603.2737697566
"383",1.36119914852445,0,77076.0124902832
"384",1.54441750936229,0,77555.0430216088
"385",1.74908632068293,0,81247.001315731
"386",1.34434575465161,0,80944.405407665
"387",0.760324999943204,0,80544.4330523461
"388",1.59330613200583,0,81145.8849481943
"389",1.62434622634438,0,81196.4116511509
"390",1.32084575465161,0,80944.405407665
"391",0.900765094281751,0,80594.2132952709
"392",1.49206603766728,0,81095.4210893957
"393",0.248003773542049,0,79902.8413674928
"394",1.53054622634439,0,81196.4116511509
"395",1.21960566031309,0,80894.1917566677
"396",1.39826603766729,0,81095.4210893957
"397",1.43684622634439,0,81196.4116511509
"398",1.23494575465162,0,80944.405407665
"399",1.36680613200584,0,81145.8849481943
"400",1.35094622634439,0,81196.4116511509
"401",1.25028584899017,0,80994.6814358685
"402",1.16542547163598,0,80793.9511225206
"403",1.25028584899017,0,80994.6814358685
"404",0.786483962219159,0,80000.8816636493
"405",0,-1e+30,1e+30
"406",1.24206603766728,0,81095.4210893957
"407",1.19568584899017,0,80994.6814358685
"408",1.18024575465162,0,80944.405407665
"409",1.20348584899017,0,80994.6814358685
"410",3.01170814329299,0,43073.2924742746
"411",2.89842768192753,0,43046.5554832912
"412",2.86324722056208,0,43019.8516647532
"413",3.03898860465846,0,43100.0626995539
"414",3.02338860465846,0,43100.0626995539
"415",2.91010814329299,0,43073.2924742746
"416",2.86324722056208,0,43019.8516647532
"417",3.12102998875482,0,43180.5734019814
"418",2.2460426069075,0,42754.6244658336
"419",0,-1e+30,1e+30
"420",2.80462768192753,0,43046.5554832912
"421",2.77734722056209,0,43019.8516647532
"422",2.92576906602392,0,43126.8662211332
"423",2.72264722056209,0,43019.8516647532
"424",2.7186667591966,0,42993.1809569635
"425",2.84374952738937,0,43153.7031011712
"426",2.71480814329298,0,43073.2924742746
"427",2.6483667591966,0,42993.1809569635
"428",2.77334952738936,0,43153.7031011712
"429",2.36720122281111,0,42675.6928514352
"430",2.71088860465846,0,43100.0626995539
"431",2.66794722056207,0,43019.8516647532
"432",2.67184952738937,0,43153.7031011712
"433",2.9470232892071,0,44878.8951613667
"434",2.59667212348717,0,44739.7789333402
"435",3.03248375549507,0,44934.7841964369
"436",2.9311535223511,0,44906.8222896563
"437",2.57327212348718,0,44739.7789333402
"438",2.94648375549508,0,44934.7841964369
"439",1.78028839318343,0,44300.3458683105
"440",0,-1e+30,1e+30
"441",2.79072328920711,0,44878.8951613667
"442",2.55757212348717,0,44739.7789333402
"443",2.78275352235109,0,44906.8222896563
"444",2.71262328920711,0,44878.8951613667
"445",2.47974189034321,0,44712.0591198747
"446",2.67362328920711,0,44878.8951613667
"447",2.61156282291914,0,44823.1449810421
"448",2.51050235663116,0,44767.5331386338
"449",2.58762328920711,0,44878.8951613667
"450",2.24854885947141,0,44354.8023475585
"451",2.5642232892071,0,44878.8951613667
"452",2.46360235663118,0,44767.5331386338
"453",2.47123258977516,0,44795.3217998
"454",2.93759886618232,0,77857.2325138353
"455",2.67642267186487,0,77664.1581616621
"456",2.78351076902359,0,77760.5754902303
"457",2.79415481760296,0,77808.8739843236
"458",2.7679107690236,0,77760.5754902303
"459",1.82721789459509,0,76901.3426118852
"460",0,-1e+30,1e+30
"461",2.70035481760296,0,77808.8739843236
"462",2.6195107690236,0,77760.5754902303
"463",2.66409886618233,0,77857.2325138353
"464",2.54921076902361,0,77760.5754902303
"465",2.56259886618232,-1.74005567788858e-08,77857.2325138353
"466",2.4476107690236,0,77760.5754902303
"467",2.07216194317443,0,76948.5793088213
"468",1.26011190284126,0,75013.3455777012
"469",2.3539107690236,-2.45775356629904e-10,77760.5754902303
"470",2.35106672044424,0,77712.336919827
"471",2.77127870086097,0,81061.9650812659
"472",2.69081453591846,0,80961.5787467999
"473",2.66967870086097,0,81061.9650812659
"474",2.54523245344725,0,80911.4787599517
"475",2.27002204109103,0,80661.9060308957
"476",0,-1e+30,1e+30
"477",2.71094286580345,0,81162.600667959
"478",2.46205037097599,0,80861.440739692
"479",2.60944286580345,0,81162.600667959
"480",2.48273245344725,0,80911.4787599517
"481",2.50004286580346,0,81162.600667959
"482",2.47709661838972,0,81011.7408154163
"483",2.277822041091,0,80661.9060308957
"484",2.35717870086097,-6.99465199414762e-09,81061.9650812659
"485",2.31863245344723,0,80911.4787599517
"486",2.40698464566778,0,94505.1716664009
"487",2.13124131447718,0,94213.3088755844
"488",2.46623064438215,0,94681.1589506959
"489",2.16813864695345,0,94329.8373961479
"490",1.704754652096,0,93634.958299307
"491",0,-1e+30,1e+30
"492",2.43272797685839,0,94798.848396253
"493",2.19048731319156,0,94388.2098202791
"494",2.27757931062025,0,94739.9671239572
"495",2.03638998071531,0,94271.5371258165
"496",2.13813064438215,0,94681.1589506959
"497",2.00518998071531,0,94271.5371258165
"498",1.87224931704849,0,93865.4443505053
"499",1.12720266752375,0,91610.4186604031
"500",2.02093064438215,-5.1772709278574e-10,94681.1589506959
"501",1.96388731319156,0,94388.2098202791
"502",2.67684582278406,0,98650.0516123515
"503",2.20956784810063,0,98161.9870403671
"504",2.55964582278406,0,98650.0516123515
"505",2.10822060126518,0,98101.3183215535
"506",2.10796784810062,0,98161.9870403671
"507",0,-1e+30,1e+30
"508",2.47364582278405,0,98650.0516123515
"509",2.10781509493605,0,98222.7308442287
"510",2.32524582278403,0,98650.0516123515
"511",2.02986784810063,0,98161.9870403671
"512",2.17699857594861,0,98588.7782883687
"513",1.99061509493605,0,98222.7308442287
"514",1.99841509493604,0,98222.7308442287
"515",1.26534724683544,0,95389.3828391067
"516",2.0996095886069,0,98344.4442653492
"517",2.00606234177148,0,98283.5498726152
"518",0.444138021711035,0,49174.5095399528
"519",0.357076043422054,0,49144.0985878563
"520",0.526885934866918,0,49296.5306554365
"521",0.492200000000002,0,49204.958152671
"522",0.319138021711027,0,49174.5095399528
"523",0.376161978288939,0,49235.4444960122
"524",0.227661978288948,0,49235.4444960122
"525",0.102661978288954,0,49235.4444960122
"526",0.0714619782889513,0,49235.4444960122
"527",0,-1e+30,1e+30
"528",17.9751024507184,0,29684.6011131725
"529",17.9580049014368,0,29702.9702970297
"530",18.0316122535919,0,29758.2145071296
"531",16.5365019712645,0,28950.5428226779
"532",17.8627073521552,0,29721.3622291022
"533",17.7675098028736,0,29739.7769516729
"534",17.6752073521552,0,29721.3622291022
"535",17.6878122535919,0,29758.2145071296
"536",17.4784946191093,0,28898.254063817
"537",17.5673049014368,0,29702.9702970297
"538",17.4985024507184,0,29684.6011131725
"539",17.3612098028736,0,29739.7769516729
"540",17.3955049014368,0,29702.9702970297
"541",18.4256044219828,0,28968.0144840072
"542",17.2098147043103,0,29776.6749379653
"543",17.0613147043103,0,29776.6749379653
"544",16.9847122535919,0,29758.2145071296
"545",16.9784098028735,0,29739.7769516729
"546",16.898812253592,0,29758.2145071296
"547",16.6926171550287,0,29795.1582867784
"548",16.5115196057471,0,29813.6645962733
"549",17.1748950985632,0,29629.6296296296
"550",19.7510215770116,0,29090.9090909091
"551",16.4348171550287,0,29795.1582867784
"552",16.3411171550287,0,29795.1582867784
"553",16.4456122535919,0,29758.2145071296
"554",17.2559901971264,0,29593.0949445129
"555",16.7876024507184,0,29684.6011131725
"556",16.7813,0,29666.2546353523
"557",17.2247901971265,0,29593.094944513
"558",16.8389950985632,0,29629.6296296296
"559",16.5014975492816,0,29647.9308214947
"560",16.0703,0,29666.2546353523
"561",25.1488970698277,0,28915.6626506024
"562",15.3798049014368,0,29702.9702970297
"563",26.1190946191093,0,28898.254063817
"564",15.3657024507184,0,29684.6011131725
"565",14.8798049014368,0,29702.9702970297
"566",26.1101093234196,0,29003.0211480362
"567",15.2578,0,29666.2546353523
"568",13.4691122535919,0,29758.2145071296
"569",24.9902264784484,0,29126.213592233
"570",13.2503122535919,0,29758.2145071296
"571",12.6082147043103,0,29776.6749379653
