"","q4.sol.sens.coef.from","q4.sol.sens.coef.to"
"175",55.0872582732813,124.711748670326
"176",94.9578720231416,1e+30
"177",98.6689126868085,1e+30
"178",95.4880206893797,1e+30
"179",99.7292100192847,1e+30
"180",96.0181693556178,1e+30
"181",99.7292100192847,1e+30
"182",103.440250682952,1e+30
"183",124.646197332476,1e+30
"184",96.0181693556179,1e+30
"185",98.6689126868085,1e+30
"186",94.2294541772159,1e+30
"187",98.9154321518994,1e+30
"188",94.2294541772159,1e+30
"189",99.5011793987348,1e+30
"190",98.9154321518994,1e+30
"191",34.4596633054777,128.297407671864
"192",94.2294541772159,1e+30
"193",98.329684905064,1e+30
"194",94.229454177216,1e+30
"195",98.9154321518994,1e+30
"196",94.8152014240514,1e+30
"197",98.329684905064,1e+30
"198",98.329684905064,1e+30
"199",126.445552753165,1e+30
